row,split,eligible,reason
0,engineering,1,eligible
1,engineering,1,eligible
2,engineering,1,eligible
3,engineering,0,insufficient_interpulse
4,engineering,1,eligible
5,engineering,0,insufficient_prepulse
6,engineering,1,eligible
7,engineering,0,insufficient_prepulse
8,engineering,1,eligible
9,engineering,0,pulse_below_10mV
10,engineering,1,eligible
11,engineering,1,eligible
12,engineering,0,insufficient_prepulse
13,engineering,1,eligible
14,engineering,1,eligible
15,engineering,1,eligible
16,engineering,1,eligible
17,engineering,1,eligible
18,engineering,1,eligible
19,engineering,1,eligible
20,engineering,1,eligible
21,engineering,1,eligible
22,engineering,0,insufficient_interpulse
23,engineering,1,eligible
24,engineering,1,eligible
25,engineering,0,insufficient_interpulse
26,engineering,1,eligible
27,engineering,1,eligible
28,engineering,1,eligible
29,engineering,1,eligible
30,engineering,1,eligible
31,engineering,0,insufficient_prepulse
32,engineering,1,eligible
33,engineering,0,insufficient_interpulse
34,engineering,0,insufficient_interpulse
35,engineering,1,eligible
36,engineering,0,insufficient_interpulse
37,engineering,1,eligible
38,engineering,1,eligible
39,engineering,1,eligible
40,engineering,1,eligible
41,engineering,0,insufficient_interpulse
42,engineering,0,insufficient_interpulse
43,engineering,1,eligible
44,engineering,1,eligible
45,engineering,0,insufficient_interpulse
46,engineering,1,eligible
47,engineering,1,eligible
48,engineering,1,eligible
49,engineering,1,eligible
50,engineering,1,eligible
51,engineering,1,eligible
52,engineering,1,eligible
53,engineering,1,eligible
54,engineering,1,eligible
55,engineering,0,insufficient_interpulse
56,engineering,1,eligible
57,engineering,1,eligible
58,engineering,1,eligible
59,engineering,0,insufficient_prepulse
60,engineering,1,eligible
61,engineering,1,eligible
62,engineering,1,eligible
63,engineering,1,eligible
64,engineering,1,eligible
65,engineering,1,eligible
66,engineering,1,eligible
67,engineering,1,eligible
68,engineering,1,eligible
69,engineering,1,eligible
70,engineering,0,insufficient_interpulse
71,engineering,1,eligible
72,engineering,1,eligible
73,engineering,1,eligible
74,engineering,1,eligible
75,engineering,1,eligible
76,engineering,1,eligible
77,engineering,0,pulse_below_10mV
78,engineering,1,eligible
79,engineering,1,eligible
80,engineering,1,eligible
81,engineering,0,insufficient_interpulse
82,engineering,0,pulse_below_10mV
83,engineering,1,eligible
84,engineering,0,insufficient_interpulse
85,engineering,1,eligible
86,engineering,1,eligible
87,engineering,0,insufficient_interpulse
88,engineering,1,eligible
89,engineering,0,insufficient_interpulse
90,engineering,1,eligible
91,engineering,1,eligible
92,engineering,1,eligible
93,engineering,1,eligible
94,engineering,1,eligible
95,engineering,1,eligible
96,engineering,1,eligible
97,engineering,1,eligible
98,engineering,1,eligible
99,engineering,1,eligible
100,engineering,0,insufficient_interpulse
101,engineering,1,eligible
102,engineering,1,eligible
103,engineering,1,eligible
104,engineering,0,insufficient_interpulse
105,engineering,1,eligible
106,engineering,0,insufficient_interpulse
107,engineering,1,eligible
108,engineering,1,eligible
109,engineering,1,eligible
110,engineering,0,insufficient_interpulse
111,engineering,1,eligible
112,engineering,1,eligible
113,engineering,0,insufficient_interpulse
114,engineering,1,eligible
115,engineering,0,insufficient_interpulse
116,engineering,1,eligible
117,engineering,0,insufficient_interpulse
118,engineering,1,eligible
119,engineering,1,eligible
120,engineering,0,pulse_below_10mV
121,engineering,1,eligible
122,engineering,0,insufficient_interpulse
123,engineering,1,eligible
124,engineering,1,eligible
125,engineering,1,eligible
126,engineering,1,eligible
127,engineering,1,eligible
128,engineering,1,eligible
129,engineering,1,eligible
130,engineering,1,eligible
131,engineering,1,eligible
132,engineering,1,eligible
133,engineering,0,insufficient_interpulse
134,engineering,1,eligible
135,engineering,1,eligible
136,engineering,1,eligible
137,engineering,1,eligible
138,engineering,0,insufficient_interpulse
139,engineering,1,eligible
140,engineering,1,eligible
141,engineering,1,eligible
142,engineering,1,eligible
143,engineering,1,eligible
144,engineering,1,eligible
145,engineering,0,insufficient_interpulse
146,engineering,1,eligible
147,engineering,1,eligible
148,engineering,0,insufficient_interpulse
149,engineering,1,eligible
150,engineering,1,eligible
151,engineering,1,eligible
152,engineering,1,eligible
153,engineering,0,pulse_below_10mV
154,engineering,1,eligible
155,engineering,1,eligible
156,engineering,1,eligible
157,engineering,1,eligible
158,engineering,0,insufficient_interpulse
159,engineering,0,insufficient_interpulse
160,engineering,1,eligible
161,engineering,0,insufficient_interpulse
162,engineering,0,insufficient_interpulse
163,engineering,1,eligible
164,engineering,1,eligible
165,engineering,1,eligible
166,engineering,1,eligible
167,engineering,1,eligible
168,engineering,0,insufficient_interpulse
169,engineering,0,pulse_below_10mV
170,engineering,1,eligible
171,engineering,0,insufficient_interpulse
172,engineering,0,insufficient_interpulse
173,engineering,0,insufficient_interpulse
174,engineering,1,eligible
175,engineering,1,eligible
176,engineering,1,eligible
177,engineering,1,eligible
178,engineering,1,eligible
179,engineering,0,insufficient_interpulse
180,engineering,0,insufficient_interpulse
181,engineering,1,eligible
182,engineering,1,eligible
183,engineering,1,eligible
184,engineering,0,pulse_below_10mV
185,engineering,0,insufficient_interpulse
186,engineering,1,eligible
187,engineering,1,eligible
188,engineering,1,eligible
189,engineering,1,eligible
190,engineering,1,eligible
191,engineering,1,eligible
192,engineering,1,eligible
193,engineering,0,insufficient_interpulse
194,engineering,0,insufficient_interpulse
195,engineering,1,eligible
196,engineering,1,eligible
197,engineering,1,eligible
198,engineering,0,insufficient_interpulse
199,engineering,1,eligible
200,engineering,1,eligible
201,engineering,1,eligible
202,engineering,1,eligible
203,engineering,0,pulse_below_10mV
204,engineering,1,eligible
205,engineering,1,eligible
206,engineering,1,eligible
207,engineering,0,insufficient_interpulse
208,engineering,0,insufficient_interpulse
209,engineering,1,eligible
210,engineering,1,eligible
211,engineering,1,eligible
212,engineering,1,eligible
213,engineering,1,eligible
214,engineering,0,insufficient_interpulse
215,engineering,1,eligible
216,engineering,1,eligible
217,engineering,0,insufficient_interpulse
218,engineering,1,eligible
219,engineering,1,eligible
220,engineering,1,eligible
221,engineering,1,eligible
222,engineering,1,eligible
223,engineering,0,insufficient_interpulse
224,engineering,1,eligible
225,engineering,0,insufficient_interpulse
226,engineering,1,eligible
227,engineering,1,eligible
228,engineering,0,insufficient_interpulse
229,engineering,0,insufficient_interpulse
230,engineering,1,eligible
231,engineering,1,eligible
232,engineering,0,insufficient_interpulse
233,engineering,1,eligible
234,engineering,1,eligible
235,engineering,1,eligible
236,engineering,1,eligible
237,engineering,1,eligible
238,engineering,1,eligible
239,engineering,1,eligible
240,engineering,1,eligible
241,engineering,1,eligible
242,engineering,0,pulse_below_10mV
243,engineering,1,eligible
244,engineering,1,eligible
245,engineering,1,eligible
246,engineering,1,eligible
247,engineering,1,eligible
248,engineering,1,eligible
249,engineering,0,pulse_below_10mV
250,engineering,0,insufficient_interpulse
251,engineering,1,eligible
252,engineering,1,eligible
253,engineering,1,eligible
254,engineering,0,insufficient_interpulse
255,engineering,1,eligible
256,engineering,1,eligible
257,engineering,1,eligible
258,engineering,1,eligible
259,engineering,1,eligible
260,engineering,1,eligible
261,engineering,1,eligible
262,engineering,1,eligible
263,engineering,1,eligible
264,engineering,1,eligible
265,engineering,0,insufficient_interpulse
266,engineering,1,eligible
267,engineering,1,eligible
268,engineering,1,eligible
269,engineering,0,insufficient_interpulse
270,engineering,0,insufficient_interpulse
271,engineering,1,eligible
272,engineering,1,eligible
273,engineering,1,eligible
274,engineering,0,insufficient_interpulse
275,engineering,1,eligible
276,engineering,1,eligible
277,engineering,0,insufficient_prepulse
278,engineering,0,pulse_below_10mV
279,engineering,0,insufficient_interpulse
280,engineering,1,eligible
281,engineering,0,pulse_below_10mV
282,engineering,1,eligible
283,engineering,0,insufficient_prepulse
284,engineering,0,insufficient_interpulse
285,engineering,1,eligible
286,engineering,1,eligible
287,engineering,1,eligible
288,engineering,1,eligible
289,engineering,1,eligible
290,engineering,0,insufficient_interpulse
291,engineering,1,eligible
292,engineering,1,eligible
293,engineering,1,eligible
294,engineering,1,eligible
295,engineering,0,insufficient_interpulse
296,engineering,1,eligible
297,engineering,1,eligible
298,engineering,1,eligible
299,engineering,1,eligible
300,engineering,0,insufficient_interpulse
301,engineering,1,eligible
302,engineering,0,insufficient_interpulse
303,engineering,1,eligible
304,engineering,1,eligible
305,engineering,1,eligible
306,engineering,0,insufficient_interpulse
307,engineering,1,eligible
308,engineering,1,eligible
309,engineering,1,eligible
310,engineering,1,eligible
311,engineering,1,eligible
312,engineering,1,eligible
313,engineering,0,insufficient_interpulse
314,engineering,1,eligible
315,engineering,1,eligible
316,engineering,1,eligible
317,engineering,1,eligible
318,engineering,1,eligible
319,engineering,1,eligible
320,engineering,1,eligible
321,engineering,1,eligible
322,engineering,0,pulse_below_10mV
323,engineering,1,eligible
324,engineering,1,eligible
325,engineering,1,eligible
326,engineering,0,insufficient_interpulse
327,engineering,1,eligible
328,engineering,1,eligible
329,engineering,1,eligible
330,engineering,1,eligible
331,engineering,0,pulse_below_10mV
332,engineering,1,eligible
333,engineering,1,eligible
334,engineering,1,eligible
335,engineering,0,pulse_below_10mV
336,engineering,0,pulse_below_10mV
337,engineering,1,eligible
338,engineering,0,insufficient_interpulse
339,engineering,1,eligible
340,engineering,1,eligible
341,engineering,0,insufficient_interpulse
342,engineering,1,eligible
343,engineering,1,eligible
344,engineering,1,eligible
345,engineering,1,eligible
346,engineering,0,insufficient_interpulse
347,engineering,1,eligible
348,engineering,1,eligible
349,engineering,0,insufficient_interpulse
350,engineering,1,eligible
351,engineering,1,eligible
352,engineering,0,insufficient_interpulse
353,engineering,1,eligible
354,engineering,0,insufficient_interpulse
355,engineering,1,eligible
356,engineering,1,eligible
357,engineering,1,eligible
358,engineering,0,insufficient_interpulse
359,engineering,1,eligible
360,engineering,0,insufficient_interpulse
361,engineering,0,insufficient_interpulse
362,engineering,1,eligible
363,engineering,0,insufficient_interpulse
364,engineering,1,eligible
365,engineering,1,eligible
366,engineering,1,eligible
367,engineering,1,eligible
368,engineering,1,eligible
369,engineering,1,eligible
370,engineering,1,eligible
371,engineering,1,eligible
372,engineering,1,eligible
373,engineering,0,insufficient_interpulse
374,engineering,1,eligible
375,engineering,0,insufficient_prepulse
376,engineering,1,eligible
377,engineering,0,insufficient_interpulse
378,engineering,1,eligible
379,engineering,1,eligible
380,engineering,1,eligible
381,engineering,0,insufficient_prepulse
382,engineering,1,eligible
383,engineering,1,eligible
384,engineering,1,eligible
385,engineering,1,eligible
386,engineering,1,eligible
387,engineering,1,eligible
388,engineering,1,eligible
389,engineering,1,eligible
390,engineering,0,insufficient_interpulse
391,engineering,1,eligible
392,engineering,1,eligible
393,engineering,0,insufficient_interpulse
394,engineering,1,eligible
395,engineering,1,eligible
396,engineering,0,pulse_below_10mV
397,engineering,1,eligible
398,engineering,1,eligible
399,engineering,0,insufficient_prepulse
400,engineering,1,eligible
401,engineering,1,eligible
402,engineering,1,eligible
403,engineering,1,eligible
404,engineering,1,eligible
405,engineering,0,insufficient_interpulse
406,engineering,1,eligible
407,engineering,0,insufficient_interpulse
408,engineering,1,eligible
409,engineering,1,eligible
410,engineering,1,eligible
411,engineering,1,eligible
412,engineering,1,eligible
413,engineering,1,eligible
414,engineering,1,eligible
415,engineering,0,insufficient_interpulse
416,engineering,1,eligible
417,engineering,1,eligible
418,engineering,1,eligible
419,engineering,1,eligible
420,engineering,1,eligible
421,engineering,1,eligible
422,engineering,1,eligible
423,engineering,0,insufficient_interpulse
424,engineering,1,eligible
425,engineering,1,eligible
426,engineering,0,insufficient_prepulse
427,engineering,0,pulse_below_10mV
428,engineering,0,insufficient_interpulse
429,engineering,0,insufficient_interpulse
430,engineering,0,insufficient_interpulse
431,engineering,1,eligible
432,engineering,1,eligible
433,engineering,0,insufficient_interpulse
434,engineering,0,insufficient_prepulse
435,engineering,1,eligible
436,engineering,1,eligible
437,engineering,0,insufficient_interpulse
438,engineering,0,insufficient_interpulse
439,engineering,1,eligible
440,engineering,0,insufficient_interpulse
441,engineering,0,insufficient_interpulse
442,engineering,1,eligible
443,engineering,0,insufficient_interpulse
444,engineering,1,eligible
445,engineering,1,eligible
446,engineering,1,eligible
447,engineering,1,eligible
448,engineering,0,insufficient_interpulse
449,engineering,1,eligible
450,engineering,1,eligible
451,engineering,1,eligible
452,engineering,0,insufficient_interpulse
453,engineering,1,eligible
454,engineering,0,insufficient_interpulse
455,engineering,1,eligible
456,engineering,1,eligible
457,engineering,1,eligible
458,engineering,1,eligible
459,engineering,1,eligible
460,engineering,1,eligible
461,engineering,0,insufficient_interpulse
462,engineering,1,eligible
463,engineering,1,eligible
464,engineering,1,eligible
465,engineering,1,eligible
466,engineering,0,insufficient_interpulse
467,engineering,1,eligible
468,engineering,1,eligible
469,engineering,1,eligible
470,engineering,0,insufficient_interpulse
471,engineering,1,eligible
472,engineering,1,eligible
473,engineering,1,eligible
474,engineering,1,eligible
475,engineering,0,insufficient_interpulse
476,engineering,1,eligible
477,engineering,0,insufficient_interpulse
478,engineering,1,eligible
479,engineering,1,eligible
480,engineering,1,eligible
481,engineering,1,eligible
482,engineering,1,eligible
483,engineering,0,insufficient_interpulse
484,engineering,1,eligible
485,engineering,1,eligible
486,engineering,1,eligible
487,engineering,1,eligible
488,engineering,0,insufficient_interpulse
489,engineering,1,eligible
490,engineering,0,insufficient_interpulse
491,engineering,0,insufficient_interpulse
492,engineering,0,insufficient_interpulse
493,engineering,0,insufficient_interpulse
494,engineering,1,eligible
495,engineering,1,eligible
496,engineering,1,eligible
497,engineering,1,eligible
498,engineering,1,eligible
499,engineering,1,eligible
500,calibration,1,eligible
501,calibration,0,insufficient_interpulse
502,calibration,1,eligible
503,calibration,1,eligible
504,calibration,1,eligible
505,calibration,1,eligible
506,calibration,1,eligible
507,calibration,1,eligible
508,calibration,1,eligible
509,calibration,1,eligible
510,calibration,1,eligible
511,calibration,1,eligible
512,calibration,1,eligible
513,calibration,1,eligible
514,calibration,1,eligible
515,calibration,0,insufficient_interpulse
516,calibration,1,eligible
517,calibration,1,eligible
518,calibration,1,eligible
519,calibration,0,insufficient_interpulse
520,calibration,1,eligible
521,calibration,1,eligible
522,calibration,1,eligible
523,calibration,1,eligible
524,calibration,1,eligible
525,calibration,1,eligible
526,calibration,1,eligible
527,calibration,0,pulse_below_10mV
528,calibration,0,insufficient_interpulse
529,calibration,0,insufficient_interpulse
530,calibration,1,eligible
531,calibration,1,eligible
532,calibration,1,eligible
533,calibration,1,eligible
534,calibration,1,eligible
535,calibration,1,eligible
536,calibration,0,insufficient_prepulse
537,calibration,1,eligible
538,calibration,0,insufficient_interpulse
539,calibration,1,eligible
540,calibration,0,insufficient_interpulse
541,calibration,0,insufficient_interpulse
542,calibration,1,eligible
543,calibration,1,eligible
544,calibration,1,eligible
545,calibration,1,eligible
546,calibration,1,eligible
547,calibration,1,eligible
548,calibration,1,eligible
549,calibration,1,eligible
550,calibration,1,eligible
551,calibration,1,eligible
552,calibration,0,insufficient_interpulse
553,calibration,1,eligible
554,calibration,0,insufficient_interpulse
555,calibration,1,eligible
556,calibration,1,eligible
557,calibration,0,insufficient_interpulse
558,calibration,0,insufficient_interpulse
559,calibration,1,eligible
560,calibration,1,eligible
561,calibration,0,insufficient_interpulse
562,calibration,0,insufficient_interpulse
563,calibration,1,eligible
564,calibration,1,eligible
565,calibration,1,eligible
566,calibration,1,eligible
567,calibration,1,eligible
568,calibration,1,eligible
569,calibration,1,eligible
570,calibration,1,eligible
571,calibration,1,eligible
572,calibration,1,eligible
573,calibration,1,eligible
574,calibration,1,eligible
575,calibration,0,insufficient_interpulse
576,calibration,1,eligible
577,calibration,1,eligible
578,calibration,1,eligible
579,calibration,0,pulse_below_10mV
580,calibration,0,insufficient_interpulse
581,calibration,1,eligible
582,calibration,1,eligible
583,calibration,1,eligible
584,calibration,1,eligible
585,calibration,1,eligible
586,calibration,1,eligible
587,calibration,1,eligible
588,calibration,1,eligible
589,calibration,0,insufficient_interpulse
590,calibration,1,eligible
591,calibration,1,eligible
592,calibration,0,insufficient_prepulse
593,calibration,0,insufficient_interpulse
594,calibration,0,insufficient_interpulse
595,calibration,1,eligible
596,calibration,0,insufficient_interpulse
597,calibration,0,pulse_below_10mV
598,calibration,1,eligible
599,calibration,1,eligible
600,calibration,1,eligible
601,calibration,0,insufficient_interpulse
602,calibration,1,eligible
603,calibration,1,eligible
604,calibration,0,insufficient_prepulse
605,calibration,0,insufficient_prepulse
606,calibration,1,eligible
607,calibration,1,eligible
608,calibration,1,eligible
609,calibration,1,eligible
610,calibration,1,eligible
611,calibration,1,eligible
612,calibration,1,eligible
613,calibration,1,eligible
614,calibration,1,eligible
615,calibration,1,eligible
616,calibration,0,insufficient_prepulse
617,calibration,1,eligible
618,calibration,1,eligible
619,calibration,1,eligible
620,calibration,1,eligible
621,calibration,1,eligible
622,calibration,1,eligible
623,calibration,1,eligible
624,calibration,1,eligible
625,calibration,1,eligible
626,calibration,1,eligible
627,calibration,1,eligible
628,calibration,1,eligible
629,calibration,1,eligible
630,calibration,1,eligible
631,calibration,0,insufficient_interpulse
632,calibration,0,insufficient_interpulse
633,calibration,1,eligible
634,calibration,1,eligible
635,calibration,1,eligible
636,calibration,1,eligible
637,calibration,0,insufficient_interpulse
638,calibration,1,eligible
639,calibration,0,insufficient_interpulse
640,calibration,0,insufficient_prepulse
641,calibration,0,insufficient_prepulse
642,calibration,1,eligible
643,calibration,1,eligible
644,calibration,1,eligible
645,calibration,1,eligible
646,calibration,1,eligible
647,calibration,0,insufficient_interpulse
648,calibration,0,pulse_below_10mV
649,calibration,1,eligible
650,calibration,1,eligible
651,calibration,1,eligible
652,calibration,0,insufficient_interpulse
653,calibration,0,insufficient_interpulse
654,calibration,1,eligible
655,calibration,0,insufficient_interpulse
656,calibration,1,eligible
657,calibration,0,insufficient_interpulse
658,calibration,1,eligible
659,calibration,0,insufficient_interpulse
660,calibration,0,insufficient_interpulse
661,calibration,1,eligible
662,calibration,1,eligible
663,calibration,1,eligible
664,calibration,0,insufficient_prepulse
665,calibration,0,insufficient_interpulse
666,calibration,1,eligible
667,calibration,1,eligible
668,calibration,0,pulse_below_10mV
669,calibration,1,eligible
670,calibration,1,eligible
671,calibration,0,insufficient_interpulse
672,calibration,1,eligible
673,calibration,1,eligible
674,calibration,1,eligible
675,calibration,1,eligible
676,calibration,1,eligible
677,calibration,1,eligible
678,calibration,1,eligible
679,calibration,1,eligible
680,calibration,1,eligible
681,calibration,1,eligible
682,calibration,1,eligible
683,calibration,0,insufficient_interpulse
684,calibration,1,eligible
685,calibration,0,insufficient_interpulse
686,calibration,1,eligible
687,calibration,1,eligible
688,calibration,1,eligible
689,calibration,0,pulse_below_10mV
690,calibration,1,eligible
691,calibration,1,eligible
692,calibration,0,insufficient_interpulse
693,calibration,1,eligible
694,calibration,1,eligible
695,calibration,1,eligible
696,calibration,1,eligible
697,calibration,0,insufficient_interpulse
698,calibration,1,eligible
699,calibration,1,eligible
700,calibration,0,insufficient_interpulse
701,calibration,1,eligible
702,calibration,0,insufficient_interpulse
703,calibration,1,eligible
704,calibration,1,eligible
705,calibration,1,eligible
706,calibration,0,insufficient_interpulse
707,calibration,1,eligible
708,calibration,1,eligible
709,calibration,1,eligible
710,calibration,1,eligible
711,calibration,1,eligible
712,calibration,1,eligible
713,calibration,0,insufficient_interpulse
714,calibration,1,eligible
715,calibration,1,eligible
716,calibration,1,eligible
717,calibration,1,eligible
718,calibration,0,insufficient_interpulse
719,calibration,1,eligible
720,calibration,0,insufficient_interpulse
721,calibration,1,eligible
722,calibration,1,eligible
723,calibration,1,eligible
724,calibration,1,eligible
725,calibration,1,eligible
726,calibration,1,eligible
727,calibration,1,eligible
728,calibration,1,eligible
729,calibration,1,eligible
730,calibration,1,eligible
731,calibration,0,insufficient_interpulse
732,calibration,1,eligible
733,calibration,0,insufficient_interpulse
734,calibration,0,insufficient_interpulse
735,calibration,1,eligible
736,calibration,1,eligible
737,calibration,0,insufficient_interpulse
738,calibration,1,eligible
739,calibration,1,eligible
740,calibration,0,insufficient_interpulse
741,calibration,1,eligible
742,calibration,1,eligible
743,calibration,1,eligible
744,calibration,1,eligible
745,calibration,1,eligible
746,calibration,1,eligible
747,calibration,0,insufficient_interpulse
748,calibration,1,eligible
749,calibration,0,insufficient_interpulse
750,calibration,1,eligible
751,calibration,1,eligible
752,calibration,1,eligible
753,calibration,1,eligible
754,calibration,0,insufficient_interpulse
755,calibration,1,eligible
756,calibration,1,eligible
757,calibration,0,insufficient_interpulse
758,calibration,1,eligible
759,calibration,1,eligible
760,calibration,0,insufficient_interpulse
761,calibration,1,eligible
762,calibration,1,eligible
763,calibration,0,pulse_below_10mV
764,calibration,0,pulse_below_10mV
765,calibration,1,eligible
766,calibration,1,eligible
767,calibration,1,eligible
768,calibration,0,insufficient_interpulse
769,calibration,1,eligible
770,calibration,0,insufficient_interpulse
771,calibration,1,eligible
772,calibration,1,eligible
773,calibration,0,insufficient_interpulse
774,calibration,1,eligible
775,calibration,0,insufficient_interpulse
776,calibration,1,eligible
777,calibration,1,eligible
778,calibration,1,eligible
779,calibration,1,eligible
780,calibration,1,eligible
781,calibration,1,eligible
782,calibration,1,eligible
783,calibration,0,insufficient_interpulse
784,calibration,1,eligible
785,calibration,1,eligible
786,calibration,1,eligible
787,calibration,1,eligible
788,calibration,1,eligible
789,calibration,1,eligible
790,calibration,1,eligible
791,calibration,1,eligible
792,calibration,1,eligible
793,calibration,1,eligible
794,calibration,0,insufficient_interpulse
795,calibration,1,eligible
796,calibration,1,eligible
797,calibration,1,eligible
798,calibration,1,eligible
799,calibration,1,eligible
800,calibration,0,insufficient_interpulse
801,calibration,1,eligible
802,calibration,1,eligible
803,calibration,0,insufficient_interpulse
804,calibration,1,eligible
805,calibration,1,eligible
806,calibration,1,eligible
807,calibration,0,insufficient_interpulse
808,calibration,1,eligible
809,calibration,1,eligible
810,calibration,0,insufficient_interpulse
811,calibration,1,eligible
812,calibration,1,eligible
813,calibration,0,pulse_below_10mV
814,calibration,1,eligible
815,calibration,1,eligible
816,calibration,0,insufficient_interpulse
817,calibration,1,eligible
818,calibration,1,eligible
819,calibration,0,insufficient_interpulse
820,calibration,0,insufficient_interpulse
821,calibration,1,eligible
822,calibration,0,insufficient_prepulse
823,calibration,1,eligible
824,calibration,0,insufficient_interpulse
825,calibration,1,eligible
826,calibration,0,insufficient_prepulse
827,calibration,1,eligible
828,calibration,1,eligible
829,calibration,1,eligible
830,calibration,1,eligible
831,calibration,1,eligible
832,calibration,0,insufficient_interpulse
833,calibration,0,insufficient_interpulse
834,calibration,1,eligible
835,calibration,1,eligible
836,calibration,1,eligible
837,calibration,0,insufficient_prepulse
838,calibration,1,eligible
839,calibration,0,insufficient_interpulse
840,calibration,1,eligible
841,calibration,1,eligible
842,calibration,1,eligible
843,calibration,1,eligible
844,calibration,1,eligible
845,calibration,1,eligible
846,calibration,1,eligible
847,calibration,1,eligible
848,calibration,0,pulse_below_10mV
849,calibration,0,insufficient_interpulse
850,calibration,1,eligible
851,calibration,1,eligible
852,calibration,1,eligible
853,calibration,1,eligible
854,calibration,0,insufficient_interpulse
855,calibration,1,eligible
856,calibration,0,insufficient_prepulse
857,calibration,1,eligible
858,calibration,0,insufficient_interpulse
859,calibration,1,eligible
860,calibration,1,eligible
861,calibration,1,eligible
862,calibration,1,eligible
863,calibration,0,insufficient_interpulse
864,calibration,1,eligible
865,calibration,1,eligible
866,calibration,1,eligible
867,calibration,0,insufficient_interpulse
868,calibration,1,eligible
869,calibration,1,eligible
870,calibration,1,eligible
871,calibration,1,eligible
872,calibration,1,eligible
873,calibration,1,eligible
874,calibration,1,eligible
875,calibration,1,eligible
876,calibration,0,insufficient_prepulse
877,calibration,1,eligible
878,calibration,1,eligible
879,calibration,1,eligible
880,calibration,0,insufficient_interpulse
881,calibration,1,eligible
882,calibration,0,insufficient_interpulse
883,calibration,1,eligible
884,calibration,1,eligible
885,calibration,1,eligible
886,calibration,1,eligible
887,calibration,1,eligible
888,calibration,1,eligible
889,calibration,0,insufficient_interpulse
890,calibration,1,eligible
891,calibration,1,eligible
892,calibration,1,eligible
893,calibration,1,eligible
894,calibration,1,eligible
895,calibration,0,pulse_below_10mV
896,calibration,1,eligible
897,calibration,1,eligible
898,calibration,1,eligible
899,calibration,1,eligible
900,calibration,1,eligible
901,calibration,1,eligible
902,calibration,1,eligible
903,calibration,1,eligible
904,calibration,0,insufficient_interpulse
905,calibration,1,eligible
906,calibration,0,insufficient_interpulse
907,calibration,1,eligible
908,calibration,0,insufficient_interpulse
909,calibration,1,eligible
910,calibration,0,insufficient_interpulse
911,calibration,0,insufficient_interpulse
912,calibration,1,eligible
913,calibration,1,eligible
914,calibration,1,eligible
915,calibration,1,eligible
916,calibration,0,pulse_below_10mV
917,calibration,1,eligible
918,calibration,1,eligible
919,calibration,1,eligible
920,calibration,0,insufficient_interpulse
921,calibration,1,eligible
922,calibration,1,eligible
923,calibration,1,eligible
924,calibration,1,eligible
925,calibration,1,eligible
926,calibration,1,eligible
927,calibration,1,eligible
928,calibration,1,eligible
929,calibration,1,eligible
930,calibration,1,eligible
931,calibration,0,insufficient_interpulse
932,calibration,1,eligible
933,calibration,1,eligible
934,calibration,1,eligible
935,calibration,1,eligible
936,calibration,1,eligible
937,calibration,1,eligible
938,calibration,1,eligible
939,calibration,1,eligible
940,calibration,1,eligible
941,calibration,0,insufficient_interpulse
942,calibration,0,pulse_below_10mV
943,calibration,1,eligible
944,calibration,1,eligible
945,calibration,1,eligible
946,calibration,1,eligible
947,calibration,0,insufficient_interpulse
948,calibration,1,eligible
949,calibration,1,eligible
950,calibration,0,insufficient_prepulse
951,calibration,1,eligible
952,calibration,1,eligible
953,calibration,1,eligible
954,calibration,0,pulse_below_10mV
955,calibration,1,eligible
956,calibration,1,eligible
957,calibration,1,eligible
958,calibration,1,eligible
959,calibration,1,eligible
960,calibration,1,eligible
961,calibration,1,eligible
962,calibration,0,insufficient_interpulse
963,calibration,1,eligible
964,calibration,1,eligible
965,calibration,1,eligible
966,calibration,1,eligible
967,calibration,1,eligible
968,calibration,1,eligible
969,calibration,1,eligible
970,calibration,1,eligible
971,calibration,1,eligible
972,calibration,1,eligible
973,calibration,1,eligible
974,calibration,0,insufficient_interpulse
975,calibration,0,insufficient_prepulse
976,calibration,1,eligible
977,calibration,1,eligible
978,calibration,1,eligible
979,calibration,0,pulse_below_10mV
980,calibration,1,eligible
981,calibration,1,eligible
982,calibration,0,insufficient_prepulse
983,calibration,1,eligible
984,calibration,1,eligible
985,calibration,0,insufficient_interpulse
986,calibration,1,eligible
987,calibration,1,eligible
988,calibration,1,eligible
989,calibration,1,eligible
990,calibration,0,insufficient_interpulse
991,calibration,1,eligible
992,calibration,0,insufficient_interpulse
993,calibration,1,eligible
994,calibration,1,eligible
995,calibration,1,eligible
996,calibration,1,eligible
997,calibration,1,eligible
998,calibration,0,insufficient_interpulse
999,calibration,1,eligible
1000,calibration,1,eligible
1001,calibration,1,eligible
1002,calibration,1,eligible
1003,calibration,0,insufficient_interpulse
1004,calibration,1,eligible
1005,calibration,1,eligible
1006,calibration,1,eligible
1007,calibration,0,insufficient_interpulse
1008,calibration,0,insufficient_interpulse
1009,calibration,1,eligible
1010,calibration,0,insufficient_prepulse
1011,calibration,1,eligible
1012,calibration,1,eligible
1013,calibration,1,eligible
1014,calibration,1,eligible
1015,calibration,0,insufficient_interpulse
1016,calibration,1,eligible
1017,calibration,1,eligible
1018,calibration,1,eligible
1019,calibration,0,insufficient_interpulse
1020,calibration,1,eligible
1021,calibration,1,eligible
1022,calibration,1,eligible
1023,calibration,1,eligible
1024,calibration,1,eligible
1025,calibration,1,eligible
1026,calibration,0,pulse_below_10mV
1027,calibration,1,eligible
1028,calibration,1,eligible
