split,model,stream,predictor,mae,rmse,direction_accuracy,ara_mae,n
calibration,160m,top1,local_flow,0.16009248257357256,0.3498349148092909,0.7904040404040404,0.07237682725768971,396
calibration,160m,top1,local_trend,0.15439258615398724,0.325469399567755,0.8232323232323232,0.06977263401882004,396
calibration,160m,top1,parent_flow,0.15280906374301348,0.3468998105415879,0.8232323232323232,0.06903599764277908,396
calibration,160m,top1,persistence,0.2094233175532737,0.40991745822699355,0.0,0.09709044825042644,396
calibration,70m,median,ara_corrected,0.10369530007536298,0.18929404036298625,0.7474747474747475,0.05145044776629868,198
calibration,70m,median,broken_lineage,0.11004316611040661,0.19380208136180788,0.7222222222222222,0.05461816076367713,198
calibration,70m,median,equal_average_t338,0.08971471768005196,0.17087839646140426,0.7424242424242424,0.044517213882984415,198
calibration,70m,median,local_flow,0.09370272875778597,0.18604291775078374,0.7272727272727273,0.046437692251556584,198
calibration,70m,median,local_trend,0.09025353415777172,0.17376040356972516,0.7727272727272727,0.044749515718485476,198
calibration,70m,median,parent_flow,0.0899183320900132,0.16338992745275757,0.7424242424242424,0.04463905895051611,198
calibration,70m,median,persistence,0.08647777318059287,0.1438150525796881,0.0,0.042932088268252795,198
calibration,70m,top1,ara_corrected,0.1765948628390387,0.3056051541609857,0.6919191919191919,0.08421739289358669,198
calibration,70m,top1,broken_lineage,0.1787824996395323,0.3084337809984525,0.6919191919191919,0.08531857153537625,198
calibration,70m,top1,equal_average_t338,0.1470198532050987,0.28970168461923124,0.696969696969697,0.06992612495184186,198
calibration,70m,top1,local_flow,0.14720700895586647,0.28989855929689157,0.6919191919191919,0.07003383342421422,198
calibration,70m,top1,local_trend,0.14176330281411775,0.2686979311129998,0.7474747474747475,0.06730685132413147,198
calibration,70m,top1,parent_flow,0.15156904564955256,0.29435464144777485,0.6868686868686869,0.0721602394283052,198
calibration,70m,top1,persistence,0.1754181917115547,0.31875095263968867,0.0,0.08403684790861002,198
evaluation,1.4b,median,ara_corrected,0.08054695513479221,0.12808109557921576,0.8207070707070707,0.03987704916280204,792
evaluation,1.4b,median,broken_lineage,0.08041780531531897,0.12820599163221374,0.8232323232323232,0.039814862319793455,792
evaluation,1.4b,median,equal_average_t338,0.06689535002194108,0.12146609527703543,0.821969696969697,0.033092056141087,792
evaluation,1.4b,median,local_flow,0.06876441810431913,0.12421725992307843,0.7967171717171717,0.03402248268688915,792
evaluation,1.4b,median,local_trend,0.06871423884418326,0.12324085794700512,0.8080808080808081,0.03398503277469911,792
evaluation,1.4b,median,parent_flow,0.06724737695492071,0.12239291692832154,0.8282828282828283,0.033266611849026254,792
evaluation,1.4b,median,persistence,0.087793264034928,0.1462958363528101,0.0,0.04353018864455426,792
evaluation,1.4b,top1,ara_corrected,0.17945657677354315,0.3792925021997636,0.8623737373737373,0.07758004458579391,792
evaluation,1.4b,top1,broken_lineage,0.17959705174860988,0.37937014975780614,0.8623737373737373,0.07768002347818527,792
evaluation,1.4b,top1,equal_average_t338,0.14271210396979514,0.38479803575287114,0.8585858585858586,0.06052214672217752,792
evaluation,1.4b,top1,local_flow,0.146989695344361,0.385574515962685,0.8371212121212122,0.06253747044569406,792
evaluation,1.4b,top1,local_trend,0.14438539890079416,0.3535213328323169,0.8434343434343434,0.06117534811912691,792
evaluation,1.4b,top1,parent_flow,0.1415164219216927,0.3856674128414594,0.8623737373737373,0.06001075632053917,792
evaluation,1.4b,top1,persistence,0.2086533611775683,0.4618272655995118,0.0,0.09326531306342976,792
evaluation,1b,median,ara_corrected,0.07624324194833876,0.12430253771190702,0.822265625,0.037837376555262744,512
evaluation,1b,median,broken_lineage,0.07605263434831248,0.12425454723237968,0.822265625,0.03774340906625824,512
evaluation,1b,median,equal_average_t338,0.06604986736575053,0.11816713476736188,0.8125,0.03276406702932323,512
evaluation,1b,median,local_flow,0.0676920857382042,0.12240055690727822,0.796875,0.03357792461531726,512
evaluation,1b,median,local_trend,0.06865953015533556,0.12431523079821474,0.8125,0.03404811317520482,512
evaluation,1b,median,parent_flow,0.06563457224797499,0.11652077999215868,0.80859375,0.03255825043300252,512
evaluation,1b,median,persistence,0.08697796945080805,0.13578222327303346,0.0,0.04322235710959351,512
evaluation,1b,top1,ara_corrected,0.21766917753245457,0.40927543841539155,0.818359375,0.094469219695866,512
evaluation,1b,top1,broken_lineage,0.21788325248306245,0.4099815165511703,0.818359375,0.0945753435244516,512
evaluation,1b,top1,equal_average_t338,0.17763361559722926,0.4033774025358104,0.810546875,0.07678721562910575,512
evaluation,1b,top1,local_flow,0.17744845502293052,0.40631552311585983,0.798828125,0.07654649710102379,512
evaluation,1b,top1,local_trend,0.1717506536796787,0.37341687646264016,0.763671875,0.07413623240472993,512
evaluation,1b,top1,parent_flow,0.1804560851899802,0.4041536678536148,0.814453125,0.07820603732016818,512
evaluation,1b,top1,persistence,0.2305790514961699,0.481921299703079,0.0,0.10333769318857802,512
evaluation,410m,median,ara_corrected,0.0340220908339856,0.042511387325561256,0.8503787878787878,0.016996185068952743,528
evaluation,410m,median,broken_lineage,0.034037903942493564,0.04256582749945581,0.8503787878787878,0.01700410147162898,528
evaluation,410m,median,equal_average_t338,0.023881817108784127,0.03524626174309287,0.8428030303030303,0.011933068611670723,528
evaluation,410m,median,local_flow,0.024642176026057838,0.03595046598257993,0.821969696969697,0.012313177046160216,528
evaluation,410m,median,local_trend,0.024427126312731688,0.0350003500465023,0.8181818181818182,0.012205801472158235,528
evaluation,410m,median,parent_flow,0.023995728595388736,0.036576122045945486,0.8484848484848485,0.011989983377948824,528
evaluation,410m,median,persistence,0.03852358692084238,0.049236672478027946,0.0,0.01925313557038669,528
evaluation,410m,top1,ara_corrected,0.11256619886191307,0.14730994691335564,0.8522727272727273,0.05459407489155159,528
evaluation,410m,top1,broken_lineage,0.11359187370991591,0.14950041644391124,0.8484848484848485,0.05508913188370773,528
evaluation,410m,top1,equal_average_t338,0.04604493810971353,0.07085015919022691,0.8579545454545454,0.02263068505603705,528
evaluation,410m,top1,local_flow,0.05170367945241636,0.08719209669240051,0.8731060606060606,0.025347407573922162,528
evaluation,410m,top1,local_trend,0.053498927345268586,0.0882104736242659,0.8731060606060606,0.026253502497468637,528
evaluation,410m,top1,parent_flow,0.04562514350045668,0.06996524955014094,0.821969696969697,0.022491965782193833,528
evaluation,410m,top1,persistence,0.13502007552950468,0.19786451137196412,0.0,0.06689776463066542,528
holdout,12b,median,ara_corrected,0.11236014876831732,0.18227332731723914,0.75,0.055754255271288536,1116
holdout,12b,median,broken_lineage,0.11252969988717693,0.18238889770283287,0.7482078853046595,0.05583610608272006,1116
holdout,12b,median,equal_average_t338,0.09232009866516554,0.15495645261520716,0.746415770609319,0.04588471424805346,1116
holdout,12b,median,local_flow,0.09537121189847676,0.15841472073340815,0.6980286738351255,0.047392865069938256,1116
holdout,12b,median,local_trend,0.08835047947600186,0.14477410446541344,0.7123655913978495,0.043898454839721913,1116
holdout,12b,median,parent_flow,0.09329458727694687,0.1566732516797883,0.7553763440860215,0.046362146564572264,1116
holdout,12b,median,persistence,0.08877862528807957,0.13668123912014363,0.0,0.044145959654147394,1116
holdout,12b,top1,ara_corrected,0.20940692152736917,0.3632565567025244,0.7526881720430108,0.09571636273206886,1116
holdout,12b,top1,broken_lineage,0.2096807629627642,0.363779550607456,0.7526881720430108,0.09585917909759376,1116
holdout,12b,top1,equal_average_t338,0.15987629241321857,0.3423437851576498,0.7589605734767025,0.07305132572055931,1116
holdout,12b,top1,local_flow,0.1607247163935207,0.34528992598513075,0.7661290322580645,0.07350309197211435,1116
holdout,12b,top1,local_trend,0.15565394338411742,0.3350773735447752,0.7123655913978495,0.0713742810460747,1116
holdout,12b,top1,parent_flow,0.16209920393760474,0.34154377918084405,0.753584229390681,0.07410145141413732,1116
holdout,12b,top1,persistence,0.20733747431552638,0.39805275320511774,0.0,0.09696083133301164,1116
holdout,2.8b,median,ara_corrected,0.09052409041257199,0.15186790967855315,0.8371212121212122,0.044774352140488534,1056
holdout,2.8b,median,broken_lineage,0.09027098206940613,0.1516104353738006,0.8390151515151515,0.04465193735534067,1056
holdout,2.8b,median,equal_average_t338,0.07257613148944493,0.13172853060787093,0.8418560606060606,0.035949199824688166,1056
holdout,2.8b,median,local_flow,0.07461576792492237,0.13384293257558957,0.8314393939393939,0.0369493202247944,1056
holdout,2.8b,median,local_trend,0.07295476184576141,0.13006489012496195,0.8446969696969697,0.0361191837184031,1056
holdout,2.8b,median,parent_flow,0.07213648594512377,0.13411290826718797,0.8551136363636364,0.03573794243590714,1056
holdout,2.8b,median,persistence,0.09250291322195915,0.1496353872910871,0.0,0.045915794094404425,1056
holdout,2.8b,top1,ara_corrected,0.21199111364708945,0.42984220274853857,0.834280303030303,0.0892960450529261,1056
holdout,2.8b,top1,broken_lineage,0.21223241709075266,0.4300349296045312,0.8352272727272727,0.08941883842451016,1056
holdout,2.8b,top1,equal_average_t338,0.17930713392760705,0.431308978114163,0.8352272727272727,0.07477015685893558,1056
holdout,2.8b,top1,local_flow,0.17800328228865014,0.43168497913427,0.8191287878787878,0.07424367052022972,1056
holdout,2.8b,top1,local_trend,0.17218444471900834,0.42074213700775687,0.8522727272727273,0.07148473144760299,1056
holdout,2.8b,top1,parent_flow,0.1830001164017932,0.4337342589179723,0.8257575757575758,0.07653793078494701,1056
holdout,2.8b,top1,persistence,0.22231754856959285,0.514826204111076,0.0,0.09671591333196579,1056
holdout,6.9b,median,ara_corrected,0.08644383601381334,0.14376253227652558,0.6592741935483871,0.043061175720651976,992
holdout,6.9b,median,broken_lineage,0.08671405942845228,0.14386105574458954,0.6592741935483871,0.043195323857568864,992
holdout,6.9b,median,equal_average_t338,0.07176150069773848,0.12084594150372771,0.6592741935483871,0.035778344275175546,992
holdout,6.9b,median,local_flow,0.0714520628630483,0.12220359822892936,0.6663306451612904,0.03561740191683373,992
holdout,6.9b,median,local_trend,0.06393030241596033,0.10788594062308746,0.7036290322580645,0.03186925127591819,992
holdout,6.9b,median,parent_flow,0.07422680387874307,0.12260371250925936,0.6290322580645161,0.03701041196680946,992
holdout,6.9b,median,persistence,0.06447093797531499,0.09698073659460635,0.0,0.03215143224005258,992
holdout,6.9b,top1,ara_corrected,0.16805890621216224,0.2979654646704502,0.8175403225806451,0.0768866126254543,992
holdout,6.9b,top1,broken_lineage,0.16830388927272738,0.29776034668797247,0.8175403225806451,0.07700911196937117,992
holdout,6.9b,top1,equal_average_t338,0.135402649226246,0.30069346628933263,0.8195564516129032,0.06157913478752958,992
holdout,6.9b,top1,local_flow,0.13859597973489776,0.3052056080888638,0.7983870967741935,0.06306516464045567,992
holdout,6.9b,top1,local_trend,0.14171845361892874,0.3030444625576983,0.8125,0.06470499495291175,992
holdout,6.9b,top1,parent_flow,0.13501336311555096,0.29830234561962443,0.8316532258064516,0.061446309927226495,992
holdout,6.9b,top1,persistence,0.19327937708399467,0.37910528961447965,0.0,0.0904491598768337,992
